ODS,Indicador,Descripción del Indicador,Abreviatura,UnidadMedida,Fuente,Invertir,Instrumental,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Meta2030,Mínimo,Máximo,IDIndicador,MetaODS
1,Incidencia de la Pobreza Monetaria Extrema,"Mide el porcentaje de la población que tiene un ingreso per cápita en el hogar por debajo de la línea de pobreza extrema (calculada a partir del costo per cápita mínimo de una canasta alimentaria que garantiza las necesidades básicas calóricas), respecto a la población total.",pobr_extr,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),1,1,,,0.177,0.157,0.148,0.138,,,0.164,0.144,0.123,0.106,0.104,0.091,0.081,0.079,0.085,0.074,0.072,0.074,0.088,0.04,0.0,0.3,1.1.2.C,1.1
1,Incidencia de la Pobreza Monetaria,"Mide el porcentaje de la población que tiene un ingreso per cápita en el hogar por debajo de la línea de pobreza (calculada como el costo per cápita mínimo de una canasta básica de bienes alimentarios y no alimentarios), respecto a la población total.",pobr_mone,Porcentaje,DANE - Gran Encuesta Integrada de Hogares (GEIH),1,1,,,0.497,0.48,0.474,0.45,,,0.42,0.403,0.372,0.341,0.327,0.306,0.285,0.278,0.28,0.269,0.27,0.278,0.331,0.187,0.0,0.6,1.2.1.P,1.2
1,Índice de la Pobreza Multidimensional,"Mide el porcentaje de la población en condición de pobreza, a través de 5 dimensiones: 1) condiciones educativas del hogar, 2) condiciones de la niñez y la juventud, 3) trabajo, 4) salud y 5) acceso a servicios públicos y condiciones de la vivienda. Estas dimensiones incluyen 15 indicadores, y aquellos hogares que tengan privación en por lo menos el 33% de los indicadores, son considerados pobres.",pobr_multi,Porcentaje,DANE - Encuesta Nacional de Calidad de Vida (ECV),1,1,,,,,,,,,,,0.297,0.288,0.265,0.243,0.216,0.198,0.176,,0.191,0.175,0.181,0.084,0.0,0.5,1.2.2.P,1.2
2,Porcentaje de menores de 6 meses con lactancia materna exclusiva,"Mide el porcentaje de lactantes menores de 5 meses 29 días de edad alimentados exclusivamente con leche materna durante el día anterior (Incluye ser amamantado por una nodriza y alimentación con leche materna extraída), respecto al total de niños en este grupo de edad.",lacta_bebe,Porcentaje,ICBF - Encuesta Nacional de Situación Nutricional en Colombia (ENSIN),0,1,0.26,,,,,0.469,,,,,0.428,,,,,0.361,,,,,,0.51,0.1,0.7,2.1.2.C,2.1
2,Prevalencia de desnutrición crónica en menores de 5 años,"Mide el porcentaje de niños y niñas menores de 5 años con retraso en el crecimiento (<-2DE) de acuerdo a la Resolución 2465 del 2016, respecto al total de niños y niñas menores de 5 años.",desnu_menor,Porcentaje,ICBF - Encuesta Nacional de Situación Nutricional en Colombia (ENSIN),1,1,0.179,,,,,0.16,,,,,0.132,,,,,0.108,,,,,,0.05,0.0,0.2,2.2.1.G,2.2
2,Tasa de mortalidad por desnutrición en menores de 5 años,"Mide el número de muertes de menores de 5 años, por deficiencias nutricionales y anemias nutricionales, por cada 100.000 niños y niñas menores de 5 años.",mort_desnu,Tasa por cada 100.000 niños y niñas menores de 5 años,DANE - Estadísticas Vitales (EEVV),1,1,17.67,24.72,17.36,15.29,13.64,14.871860276340344,12.602482040304777,9.750410436429767,11.71,9.160154077530422,8.154737189643905,6.722317182732889,7.573729087477503,6.76,6.821151043717314,6.83,8.24,5.8416642211,9.061,9.248,,5.0,2.0,30.0,2.2.3.C,2.2
3,Tasa de mortalidad materna,"Mide el número de mujeres que mueren durante el embarazo o en los 42 días siguientes a su terminación, independiente de la duración del embarazo, del sitio del parto y debido a cualquier causa relacionada con o agravada por el embarazo mismo o su atención (no por causas accidentales o incidentales), por cada 100.000 nacidos vivos.",mort_mater,Razón por cada 100.000 nacidos vivos,DANE - Estadísticas Vitales (EEVV),1,1,101.88168972177134,95.95219785757381,82.94608504472093,74.99627129232786,76.61468208364276,70.14200631139161,71.38358177619148,72.0476332140999,60.66,67.30734879068272,71.64385214786437,68.67,65.89493746629533,55.24903807478351,53.651195495092935,53.7,51.27,51.01,45.29,50.727,,32.0,10.0,130.0,3.1.1.G,3.1
3,Porcentaje de partos atendidos por personal calificado,"Mide el porcentaje de partos (con resultado nacido vivo) atendidos por personal calificado (médicos y enfermeras), respecto al total de partos.",parto_medi,Porcentaje,DANE - Estadísticas Vitales (EEVV),0,1,0.9352325614042595,0.9360731353970659,0.9485346778583092,0.9529935570700822,0.9586838150897993,0.9659518736003495,0.9727675930572572,0.9786164693399254,0.9814564905779114,0.9844084146243839,0.9866776667583341,0.9889,0.9876,0.9871,0.988842188336089,0.99,0.9903,0.9898,0.9842,0.984,,0.99,0.9,1.0,3.1.2.G,3.1
3,Porcentaje de nacidos vivos con 4 o más controles prenatales,"Mide el porcentaje de nacidos vivos cuyas madres asistieron a 4 o más controles prenatales durante su gestación, respecto al total de nacidos vivos.",contro_prena,Porcentaje,DANE - Estadísticas Vitales (EEVV),0,1,0.7263938614242155,0.7437448647778199,0.7623250821672144,0.7752802543203384,0.8356397097858786,0.8095479717953376,0.8183217250860543,0.8282515181241705,0.8359147833597236,0.8380712565988558,0.8554475404494905,0.8443999999999999,0.8479000000000001,0.8649,0.879240606112377,0.884,0.8843,0.877,0.861,0.839,,0.93,0.7,1.0,3.1.3.C,3.1
3,Tasa de mortalidad en menores de 5 años (ajustada),"Mide la relación de las muertes en población menor de 5 años respecto a los nacimientos ocurridos en el mismo período, por cada 1.000 nacidos vivos.",mort_menor,Tasa por cada 1.000 nacidos vivos,DANE - Estadísticas Vitales (EEVV),1,1,31.19570752712749,29.936883754441563,28.678441219117374,27.60534090705307,26.532220237276213,25.45907920920746,24.385917822267494,23.312736075876963,22.599751204569852,21.886812899186474,21.173921155165058,20.461075967944414,19.748277332963994,19.253275576967244,19.204197916670847,18.73,18.18,18.19,,,,13.0,7.0,35.0,3.2.2.G,3.2
3,Tasa de mortalidad infantil en menores de 1 año (ajustada),"Mide la relación de las muertes en población menor de un año respecto a los nacimientos ocurridos en el mismo período, por cada 1.000 nacidos vivos.",mort_bebe,Tasa por cada 1.000 nacidos vivos,DANE - Estadísticas Vitales (EEVV),1,1,24.993036595623135,23.983611376781898,23.02849057675578,22.11864348748023,21.254041671740723,20.398497494321663,19.98671435186712,19.576597730950812,19.168230904164073,18.761659184776494,18.36,17.784411091893098,17.4714137486506,17.24570696074185,17.23396350689183,17.1,16.796,16.502,17.31,,,14.0,7.0,30.0,3.2.3.C,3.2
3,Incidencia de tuberculosis,"Mide el número de casos de tuberculosis nuevos y de recaída (todas las formas de tuberculosis, incluidos los casos en personas que viven con el VIH) que surgen en un año determinado, por cada 100.000 habitantes. ",inci_tuber,Tasa por cada 100.000 habitantes,MinSalud - Sistema de Información para la Vigilancia en Salud Pública (SIVIGILA),1,1,,,,,,,,15.99247,23.27274,22.09929,26.0143,24.35465,26.24199,26.17087,27.58394,26.4,26.48,27.34,26.78,27.69,20.88,10.0,5.0,40.0,3.3.1.G,3.3
3,Tasa de mortalidad por malaria,"Mide el número de muertes causadas por paludismo (malaria) respecto al total de población en riesgo, por cada 100.000 habitantes.",mort_malar,Tasa por cada 100.000 habitantes,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,,,3.699813,6.209118,7.830979,11.55089,6.290549,5.806599,4.970077,3.877286,4.0,1.33,,,,,0.5,0.0,15.0,3.3.3.C,3.3
3,Letalidad por dengue,"Mide el porcentaje de muertes causadas por dengue y dengue grave, respecto al total de casos de dengue notificados en un determinado periodo.",mort_deng,Porcentaje,DANE - Estadísticas Vitales (EEVV),1,1,,,,,0.0007,0.0011,0.0012978922230297996,0.0004593371764543763,0.0006191950464396285,0.000853656170576024,0.0014058345313672854,0.001400925262266241,0.0016,0.0012,0.0011,0.0016,0.0017,0.002,0.0022,,,0.001,0.0,0.003,3.3.4.C,3.3
3,Tasa de mortalidad por VIH/SIDA,"Mide el número de muertes por VIH/SIDA, por cada 100.000 habitantes.",mort_sida,Tasa por cada 100.000 habitantes,DANE - Estadísticas Vitales (EEVV),1,1,4.742457625,5.174753154,5.117493786,5.266558721,5.735394529,5.374389534634291,5.397876733782802,5.6662281126003595,5.387937458621709,5.209117035320081,5.343929313878149,5.1124343546814535,4.888172796500472,5.057183631728035,4.989321948839224,5.08,4.964335964,5.1,5.4,,,2.4,1.2,6.0,3.3.8.C,3.3
3,Tasa de mortalidad por lesiones auto infligidas intencionalmente,"Mide el número de muertes por lesiones auto infligidas intencionalmente, por cada 100.000 habitantes.",mort_inten,Tasa por cada 100.000 habitantes,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,5.0994,5.1963,5.1674,5.1382,5.1238,4.6887,4.4924,4.5936,4.4168,4.4744,4.47,5.09,5.5,5.72,,,4.12,2.0,6.0,3.4.1.G,3.4
3,Tasa de mortalidad prematura por enfermedades cardiovasculares,"Mide el número de muerte de personas entre 30 a 70 años por enfermedades cardiovasculares, por 100.000 habitantes en este grupo de edad.",mort_cardi,Tasa por cada 100.000 habitantes de 30 a 70 años,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,96.08,96.60190451604697,91.08143667144452,90.86885915175542,85.46849110640493,85.6570627987916,82.76418053386685,81.51549268318216,81.37148078940831,80.77989913829504,83.65,84.77,82.81,85.82,81.9,,75.0,60.0,110.0,3.4.2.P,3.4
3,"Tasa de mortalidad prematura por cáncer de mama, cuello uterino, colon y recto, pulmón, próstata, estómago, linfoma no Hodgkin y Leucemia en adultos","Mide el número de muertes por cáncer de mama, cuello uterino, colon y recto, pulmón, próstata, estómago, linfoma no Hodgkin y Leucemia, en personas de 30 a 70 años, por cada 100.000 habitantes en este grupo de edad.",mort_cance,Tasa por cada 100.000 habitantes de 30 a 70 años,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,57.62954265049176,56.86213163253185,56.975977256769525,55.95464188749027,56.58213819362909,56.905905915318144,55.007772162605626,55.1232870953706,55.56449143934485,57.3652923771766,57.58,59.5023051094,59.9075074961,60.33,60.5,,55.2,40.0,70.0,3.4.3.C,3.4
3,Tasa de mortalidad prematura por diabetes,"Mide el número de muertes por diabetes mellitus, en personas de 30 a 70 años, por cada 100.000 habitantes en este grupo de edad.",mort_diabe,Tasa por cada 100.000 habitantes de 30 a 70 años,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,19.381115110739714,17.958308664042136,17.244462026584287,17.471116904185326,14.956162970603405,15.334666743680293,13.772986564814605,14.610246934810377,14.459986603574169,14.044810556162638,14.23,13.73,13.9002903203,15.13,,,11.5,6.0,25.0,3.4.4.P,3.4
3,Tasa de mortalidad prematura de las enfermedades crónicas de las vías respiratorias inferiores,"Mide el número de muertes por enfermedades crónicas de las vías respiratorias inferiores, en personas de 30 a 70 años, por cada 100.000 habitantes en este grupo de edad. ",mort_respi,Tasa por cada 100.000 habitantes de 30 a 70 años,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,14.499989634329618,14.637892218346844,13.38692223039517,13.688883449943795,12.004433081320707,11.826069202116441,10.795327895721762,10.622824111276092,10.312705030602094,10.111077550284572,10.3,10.83,10.2,9.88,11.6,,8.1,4.0,20.0,3.4.5.P,3.4
3,Tasa de mortalidad por tumores malignos en menores de 18 años,"Mide el número de muertes por tumores malignos en menores de 18 años, por cada 100.000 menores de 18 años.",mort_tumor,Tasa por cada 100.000 menores de 18 años,DANE - Estadísticas Vitales (EEVV),1,1,,,,,,4.994087177340666,4.789552792703675,5.139518000450608,4.83,5.4363517971975,4.950960923456294,4.9152116392211616,5.046312112092845,5.164100896229066,5.163616615149909,4.46,,4.63,,4.81,,3.9,2.0,6.0,3.4.6.C,3.4
3,Porcentaje de menores de 1 año con tercera dosis de pentavalente,"Mide el porcentaje de niños menores de 1 año con tres dosis de pentavalente, respecto a la población menor de 1 año.",vacu_preva,Porcentaje,MinSalud - Programa Ampliado de Inmunización (PAI),0,1,78.5,79.5,80.5,92.0,89.1,93.1,93.5,92.9,92.2,92.2,87.9,83.9,90.5,90.1,90.3,91.4,91.3,91.5,92.5,93.4,,95.0,70.0,100.0,3.8.1.P,3.8
3,Porcentaje niños y niñas de 1 año con vacunación de triple viral,"Mide el porcentaje de niños de 1 año con vacuna triple viral del total de la población de niños de un año, respecto a la población menor de 1 año.",vacu_trip,Porcentaje,MinSalud - Programa Ampliado de Inmunización (PAI),0,1,79.5,88.2,93.3,92.8,91.6,93.9,95.4,94.6,92.4,95.2,88.5,87.6,93.8,92.4,91.3,94.0,92.6,93.0,95.2,94.3,,95.0,70.0,100.0,3.8.2.P,3.8
3,Porcentaje de población afiliada al sistema de seguridad social en salud,"Mide el porcentaje de la población afiliada al Sistema General de Seguridad Social en Salud, en cualquiera de sus regímenes, respecto al total de la población.",afili_socia,Porcentaje,ADRRES - Base de Datos Única de Afiliados (BDUA),0,1,55.62588367359454,59.082082586267134,60.924005483436936,62.03873792894108,70.71773553217817,79.68,82.23,86.14,85.99,86.1010263672476,88.74686263886746,96.42574164124042,96.41198456316319,95.97001461489992,96.6079996119323,95.7,95.7,94.9,94.7,95.0,95.64,99.0,50.0,100.0,3.8.3.P,3.8
3,Incidencia de intoxicaciones por sustancias químicas,"Mide la frecuencia relativa de casos nuevos de intoxicación por sustancias químicas que se presentaron en la población durante un periodo epidemiológico, por cada 100.000 habitantes.",intox_quimi,Tasa por cada 100.000 habitantes,Instituto Nacional de Salud (INS)-Sistema de Información para la Vigilancia en Salud Pública (SIVIGILA) - DANE,1,1,,,,,,,,18.32361,26.8767,30.02079,38.76766,50.82029,58.47989,59.98376,68.84761,70.1,73.86,80.56,45.86,44.9,,40.0,15.0,100.0,3.9.3.C,3.9
3,Índice de Riesgo Calidad del Agua para consumo humano (IRCA) Rural,"Mide el grado de riesgo de ocurrencia de enfermedades relacionadas con el no cumplimiento de las características físicas, químicas y microbiológicas del agua para consumo humano (rural).",irca_rural,Porcentaje,INS - Sistema de la Vigilancia de la Calidad del Agua Potable para Consumo humano (SIVICAP),1,1,,,,,,,,0.413,0.478,0.484,0.482,0.489,0.498,0.5212,0.477,0.452,,0.311,0.413,,,0.3,0.1,0.55,3.9.5.C,3.9
4,Porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 5 - Lenguaje,"Mide el porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 5 (lenguaje) grado quinto, respecto a los estudiantes evaluados en este nivel.",sabe5_leng,Porcentaje,ICFES - Pruebas Saber,0,1,,,,,,,,,,,,,36.2377886848533,36.24058286701469,33.75794273753458,33.45,40.23,43.0,,,,44.52,25.0,80.0,4.1.1.P,4.1
4,Porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 5 -Matemáticas,"Mide el porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 5  (matemáticas) grado quinto, respecto a los estudiantes evaluados en este nivel.",sabe5_mate,Porcentaje,ICFES - Pruebas Saber,0,1,,,,,,,,,,,,,26.33413691424928,28.364451082897684,27.16161741257334,28.3,30.2,28.0,,,,38.1,20.0,70.0,4.1.2.P,4.1
4,Porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 9 - Lenguaje,"Mide el porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 9 (lenguaje) grado noveno, respecto a los estudiantes evaluados en este nivel.",sabe9_leng,Porcentaje,ICFES - Pruebas Saber,0,1,,,,,,,,,,,,,41.97368036068146,37.14918382081037,36.06767410637675,33.95,40.2,48.0,,,,50.0,25.0,80.0,4.1.3.P,4.1
4,Porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 9 - Matemáticas,"Mide el porcentaje de estudiantes que se encuentran en nivel de desempeño satisfactorio y avanzado en las pruebas SABER 9 (matemáticas) grado noveno, respecto a los estudiantes evaluados en este nivel.",sabe5_mate,Porcentaje,ICFES - Pruebas Saber,0,1,,,,,,,,,,,,,22.30153322730837,20.29420618623203,21.2458034140114,18.79,25.4,26.0,,,,29.68,15.0,70.0,4.1.4.P,4.1
4,Tasa de cobertura bruta en educación media,"Mide el porcentaje de estudiantes matriculados en educación media (independientemente de la edad que tengan), respecto al total de la población en edad teórica (de 15 a 16 años) para cursar este nivel.",cober_media,Porcentaje,MinEducación - Sistema Integrado de Matrícula (SIMAT),0,1,0.5844,0.5216,0.5743,0.6051,0.6168,0.649,0.6887,0.7065,0.713,0.7524,0.7861,0.8031,0.7554,0.7821,0.7731,0.778,0.7948,0.801,0.8,0.8584,,0.95,0.5,1.0,4.1.5.C,4.1
4,Tasa de cobertura bruta en transición,"Mide la relación porcentual entre el total de los alumnos matriculados en el nivel de transición, independiente de la edad que estos tengan, respecto al total de la población con 5 años de edad.",cober_trans,Porcentaje,MinEducación - Sistema Integrado de Matrícula (SIMAT),0,1,0.728,0.7232,0.757,0.8895,0.8774,0.9542,0.9374,0.9033,0.9402,0.9077,0.8937,0.8848,0.971,0.9401,0.8829,0.8593,0.8401,0.8435,0.85,0.9392,,1.0,0.7,1.0,4.2.2.C,4.2
4,"Porcentaje de niños y  niñas menores de 5 años que asisten a un hogar comunitario, jardín, centro de desarrollo infantil o colegio.","Mide el porcentaje de niños y niñas menores de 5 años que asisten a un hogar comunitario, jardín, centro de desarrollo infantil o colegio, respecto a total de niños y niñas menores de 5 años",jardi_infan,Porcentaje,DANE - Encuesta de Calidad de Vida,0,1,,,,,,,,,,,0.325,0.318,0.34,0.377,0.365,0.367,0.359,0.3536,0.354,,,0.5,0.2,0.8,4.2.3.C,4.2
4,Cobertura en educación superior,"Mide la cobertura bruta en educación superior como el porcentaje del total de estudiantes matriculados en programas de pregrado (técnicos, tecnológicos y universitarios), independientemente de la edad que estos tengan, respecto al total de la población entre 17 y 21 años (rango de edad teórico).",cober_super,Porcentaje,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES),0,1,0.234,0.241,0.237,0.256,0.258,0.284,0.3,0.316,0.341,0.357,0.371,0.404,0.417,0.452,0.478,0.494,0.5152,0.5281,0.53,0.5223,,0.7,0.2,1.0,4.3.1.C,4.3
